"No.","Object designation","Diameter in m","Impact date/time in UTC","IP max","PS max","Vel. in km/s","In list since in d","Comment"
"1","101955 Bennu"," 484 ","2182-09-24 20:24","1/2702","-1.59","12.68","5064","Impact Date > 100 years"
"2","29075 1950DA"," 1300 ","2880-03-16 23:48","1/51020","-2.13","17.99","2558","Impact Date > 100 years"
