,Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
4138,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2018,18:34:00,Falcon 9 Block 5,Spaceflight SSO-A,Active,67,Success
4140,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2018,18:16:00,Falcon 9 Block 5,CRS-16,Active,67,Success
4148,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2018,13:51:00,Falcon 9 Block 5,GPS III SV01,Active,67,Success
4153,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2019,15:31:00,Falcon 9 Block 5,Iridium-8,Active,67,Success
4163,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019,01:45:00,Falcon 9 Block 5,Nusantara Satu & Beresheet,Active,67,Success
4165,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2019,07:49:00,Falcon 9 Block 5,SpaceX Demo-1,Active,67,Success
4177,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2019,22:35:00,Falcon Heavy,ArabSat 6A,Active,90,Success
4182,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019,06:48:00,Falcon 9 Block 5,CRS-17,Active,67,Success
4187,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019,02:30:00,Falcon 9 Block 5,Starlink V0.9,Active,67,Success
4191,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2019,14:17:00,Falcon 9 Block 5,RADARSAT Constellation,Active,67,Success
4194,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2019,06:30:00,Falcon Heavy,STP-2,Active,90,Success
4204,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019,22:01:00,Falcon 9 Block 5,CRS-18,Active,67,Success
4210,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019,23:23:00,Falcon 9 Block 5,AMOS-17,Active,67,Success
4236,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019,14:56:00,Falcon 9 Block 5,Starlink V1 L1,Active,67,Success
4245,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019,17:29:00,Falcon 9 Block 5,CRS-19,Active,67,Success
4254,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019,00:10:00,Falcon 9 Block 5,JCSAT-18 / Kacific-1,Active,67,Success
4261,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020,02:19:00,Falcon 9 Block 5,Starlink V1 L2,Active,67,Success
4266,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020,15:30:00,Falcon 9 Block 5,Crew Dragon Inflight Abort Test,Active,67,Success
4267,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020,14:06:00,Falcon 9 Block 5,Starlink V1 L3,Active,67,Success
4274,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020,15:05:00,Falcon 9 Block 5,Starlink V1 L4,Active,67,Success
